municipality_id,district_id,municipality_name,number_of_wards
240,20,Dhanauji,5
241,21,Bodebarsain,10
242,21,Dakneshwori,10
243,21,Hanumannagar Kankalini,14
244,21,Kanchanrup,12
245,21,Khadak,11
246,21,Shambhunath,12
247,21,Saptakoshi,11
248,21,Surunga,11
249,21,Rajbiraj,16
250,21,Agnisaira Krishnasavaran,6
251,21,Balan-Bihul,6
252,21,Rajgadh,6
253,21,Bishnupur,7
254,21,Chhinnamasta,7
255,21,Mahadeva,6
256,21,Rupani,6
257,21,Tilathi Koiladi,8
258,21,Tirhut,5
259,22,Aaurahi,9
260,22,Balawa,11
261,22,Bardibas,14
262,22,Bhangaha,9
263,22,Gaushala,12
264,22,Jaleshor,12
265,22,Loharpatti,9
266,22,Manara Shiswa,10
267,22,Matihani,9
268,22,Ramgopalpur,9
269,22,Ekdara,6
270,22,Mahottari,6
271,22,Pipara,7
272,22,Samsi,7
273,22,Sonama,8
274,23,Bhaktapur,10
275,23,Changunarayan,9
276,23,Suryabinayak,10
277,23,Madhyapur Thimi,9
278,24,Bharatpur,29
279,24,Kalika,11
280,24,Khairhani,13
281,24,Madi,9
282,24,Ratnagar,16
283,24,Rapti,13
284,24,Ichchhakamana,7
285,25,Dhunibeshi,9
286,25,Nilkantha,14
287,25,Khaniyabas,5
288,25,Gajuri,8
289,25,Galchhi,8
290,25,Gangajamuna,7
291,25,Jwalamukhi,7
292,25,Thakre,11
293,25,Netrawati Dabjong,5
294,25,Benighat Rorang,10
295,25,Rubi Valley,6
296,25,Siddhalek,7
297,25,Tripurasundari,7
298,26,Bhimeswor,9
299,26,Jiri,9
300,26,Kalinchok,9
301,26,Melung,7
302,26,Bigu,8
303,26,Gaurishankar,9
304,26,Baiteshowr,8
305,26,Sailung,8
306,26,Tamakoshi,7
307,27,Kathmandu,32
308,27,Gokarneshwar,9
309,27,Kirtipur,10
310,27,Kageshwari-Manohara,9
311,27,Chandragiri,15
312,27,Tokha,11
313,27,Tarakeshwar,11
314,27,Dakshinkali,9
315,27,Nagarjun,10
316,27,Budhalikantha,13
317,27,Shankharapur,9
318,28,Dhulikhel,12
319,28,Namobuddha,11
320,28,Panauti,12
321,28,Panchkhal,13
322,28,Banepa,14
323,28,Mandandeupur,12
324,28,Khani Khola,7
325,28,Chauri Deurali,9
326,28,Temal,9
327,28,Bethanchok,6
328,28,Bhumlu,10
329,28,Mahabharat,8
330,28,Roshi,12
331,29,Lalitpur,29
332,29,Mahalaxmi,10
333,29,Godawari,14
334,29,Konjyosom,5
335,29,Bagmati,7
336,29,Mahankal,6
337,30,Hetauda,19
338,30,Thaha,12
339,30,Bhimphedi,9
340,30,Makawanpurgadhi,8
341,30,Manahari,9
342,30,Raksirang,9
343,30,Bakaiya,12
344,30,Bagmati,9
345,30,Kailash,10
346,30,Indrasarowar,5
347,31,Bidur,13
348,31,Belkotgadhi,13
349,31,Kakani,8
350,31,Panchakanya,5
351,31,Likhu,6
352,31,Dupcheshwar,7
353,31,Shivapuri,8
354,31,Tadi,6
355,31,Suryagadhi,5
356,31,Tarkeshwar,6
357,31,Kispang,5
358,31,Myagang,6
359,32,Manthali,14
360,32,Ramechhap,9
361,32,Umakunda,7
362,32,Khandadevi,9
363,32,Doramba,7
364,32,Gokulganga,6
365,32,LikhuTamakoshi,7
366,32,Sunapati,5
367,33,Kalika,5
368,33,Gosaikunda,6
369,33,Naukunda,6
370,33,Parbatikunda,5
371,33,Uttargaya,5
372,34,Kamalamai,14
373,34,Dudhauli,14
374,34,Sunkoshi,7
375,34,Hariharpurgadhi,8
376,34,Tinpatan,11
377,34,Marin,7
378,34,Golanjor,7
379,34,Phikkal,6
380,34,Ghyanglekh,5
381,35,Chautara Sangachowkgadi,14
382,35,Bahrabise,9
383,35,Melamchi,13
384,35,Balephi,8
385,35,Sunkoshi,7
386,35,Indrawati,12
387,35,Jugal,7
388,35,Panchpokhari,8
389,35,Bhotekoshi,5
390,35,Lisankhu,7
391,35,Helambu,7
392,35,Tripurasundari,6
393,36,Baglung,14
394,36,Dhorpatan,9
395,36,Galkot,11
396,36,Jaimuni,10
397,36,Bareng,5
398,36,Khathekhola,8
399,36,Taman Khola,6
400,36,Tara Khola,5
401,36,Nishi Khola,7
402,36,Badigad,10
403,37,Gorkha,14
404,37,Palungtar,10
405,37,Sulikot,8
406,37,Siranchowk,8
407,37,Ajirkot,5
408,37,Chumnubri,7
409,37,Dharche,7
410,37,Bhimsen Thapa,8
411,37,Sahid Lakhan,9
412,37,Aarughat,10
413,37,Gandaki,8
414,38,Pokhara,33
415,38,Annapurna,11
416,38,Machhapuchchhre,9
417,38,Madi,12
418,38,Rupa,7
419,39,Besisahar,11
420,39,Madhya Nepal,10
421,39,Rainas,10
422,39,Sundarbazar,11
423,39,Dordi,9
424,39,Dudhpokhari,6
425,39,Kwhlosothar,9
426,39,Marsyangdi,9
427,40,Chame,5
428,40,Nason,9
429,40,NarpaBhumi,5
430,40,Manang Ngisyang,9
431,41,Gharpajhong,5
432,41,Thasang,5
433,41,Barhagaun Muktichhetra,5
434,41,Lomanthang,5
435,41,Lo-Ghekar Damodarkunda,5
436,42,Beni,10
437,42,Annapurna,8
438,42,Dhaulagiri,7
439,42,Mangala,5
440,42,Malika,7
441,42,Raghuganga,8
442,43,Kawasoti,17
443,43,Gaindakot,18
444,43,Devachuli,17
445,43,Madhya Bindu,15
446,43,Baudikali,6
447,43,Bulingtar,6
448,43,Binayi Tribeni,7
449,43,Hupsekot,6
450,44,Kushma,14
451,44,Phalewas,11
452,44,Jaljala,9
453,44,Paiyun,7
454,44,Mahashila,6
455,44,Modi,8
456,44,Bihadi,6
457,45,Galyang,11
458,45,Chapakot,10
459,45,Putalibazar,14
460,45,Bheerkot,9
461,45,Waling,14
462,45,Arjun Chaupari,6
463,45,Aandhikhola,6
464,45,Kaligandaki,7
465,45,Phedikhola,5
466,45,Harinas,7
467,45,Biruwa,8
468,46,Bhanu,13
469,46,Bhimad,9
470,46,Byas,14
471,46,Suklagandaki,12
472,46,AnbuKhaireni,6
473,46,Devghat,5
474,46,Bandipur,6
